Section,Category,Type,Manufactured,Price,Energy_value
"Молочные продукты, сыр, яйца",Йогурт,Йогурты традиционные,"АО ""Данон Россия""",54,109.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли",Пряники,"ООО ""Некрасовская кондитерская фабрика""",139,383.0
Бакалея,Чипсы и снеки,Батончики,"ООО ""Органик Фуд""",116,370.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже","ООО ""Марс""",93,478.0
Детские товары,Детское питание,Детские молочные продукты,"ЗАО ""Инфаприм""",34,66.0
Бакалея,Крупы и макаронные изделия,Смеси круп,"ООО фирма ""Торговый Дом Ярмарка""",44,330.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ООО Мясокомбинат ""Павловская Слобода""",729,300.0
Детские товары,Детское питание,Детское пюре,"АО ""ПРОГРЕСС""",63,70.5
"Молочные продукты, сыр, яйца",Сыры,Сыры мягкие и творожные,"ЗАО ""Умалат""",253,238.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли",Пряники,"ЗАО ""Богородская кондитерская фабрика""",43,352.0
"Молочные продукты, сыр, яйца",Соевые продукты,None,"ООО ""СиЭко Фудс""",159,268.0
Бакалея,Диетические продукты,Заменители сахара и диабетика,"ООО ""Новапродукт АГ""",59,130.0
Бакалея,"Растительные масла, соусы",Азиатская кухня,"ООО ""Состра""",35,570.0
"Хлеб, кондитерские изделия","Халва, лукум, восточные сладости","Нуга, щербет, ирис","ООО ""Азовская кондитерская фабрика""",42,430.0
Бакалея,Продукты быстрого приготовления,Хлопья и каши,"ООО ""ПрофАгроТехника""",19,343.0
Бакалея,Консервы и мёд,Готовые блюда,"ООО ""Комбинат по производству пищевых продуктов ""Рускон""",62,86.1
Бакалея,Консервы и мёд,Овощные консервы,Alnatura GmbH,448,470.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ООО ""МПЗ Богородский""",599,259.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Творог и творожные продукты,"АО ""Данон Россия""",38,102.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Наборы конфет,"ЗАО ""Ферреро Руссия""",252,628.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты",ООО «Юнилевер Русь»,78,80.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Шоколад и шоколадные изделия,"ООО ""СОБРАНИЕ""",288,560.0
Собственное производство,"Шашлык, барбекю",None,"ООО ""Гиперглобус""",579,127.0
"Мясо, рыба, кулинария",Мясная гастрономия,Сосиски,"ООО ""МДБ""",219,211.0
Бакалея,Продукты быстрого приготовления,"Лапша, супы, пюре","""Vifon""",34,85.0
"Молочные продукты, сыр, яйца",Сыры,Сыры рассольные,"ООО ""Сыроварня ""Волжанка""",115,250.0
Детские товары,Детское питание,Детское пюре,"АО ""Прогресс""",61,108.0
Бакалея,Крупы и макаронные изделия,Рис,"ООО ""ПКФ Ирей""",84,333.0
Бакалея,Чипсы и снеки,Чипсы,"The Lorenz Bahlsen Snack-World GmbH &amp, Co KG Germany",134,529.0
"Молочные продукты, сыр, яйца","Молоко, сливки",Сливки,"ОАО ""Рузское молоко""",69,120.0
Бакалея,"Растительные масла, соусы",Уксусы и маринады,ECOVINAL S.A.,152,109.0
Собственное производство,Суши и роллы,None,"ООО ""ГИПЕРГЛОБУС""",199,215.0
Напитки,"Соки, нектары",Соки,"АО ""Белгородский молочный комбинат""",29,45.0
